Ciudad,Pais
Yamasá,"Dominican Republic"
Romana,"Dominican Republic"
Valverde,"Dominican Republic"
Neyba,"Dominican Republic"
"La Golondrina","Dominican Republic"
"Los Valerios","Dominican Republic"
Reporadero,"Dominican Republic"
"Domingo Frías","Dominican Republic"
"San Juan","Dominican Republic"
Cancino,"Dominican Republic"
"Ramón Santana","Dominican Republic"
Cotuí,"Dominican Republic"
Capotillo,"Dominican Republic"
"Jima Arriba","Dominican Republic"
Contador,"Dominican Republic"
"Pepe Pérez","Dominican Republic"
Hainamosa,"Dominican Republic"
"Hato Mayor Del Rey","Dominican Republic"
Maricarmen,"Dominican Republic"
"Douar El Ouennene",Algeria
Bigou,Algeria
Maskara,Algeria
Kolea,Algeria
"Aïn Touta",Algeria
"Baba Ali",Algeria
"Emîr Abdelkader",Algeria
Fornaka,Algeria
Relizan,Algeria
Laveran,Algeria
Yakouren,Algeria
"El Milia",Algeria
"Baba Hassen",Algeria
Pasteur,Algeria
"Sidi Daoud",Algeria
"Amar Ben Zaoui",Algeria
"La Montagne",Algeria
Freha,Algeria
Renndoussa,Algeria
Messaoud,Algeria
"Bahía De Caráquez",Ecuador
Palestina,Ecuador
Saquisilí,Ecuador
Calceta,Ecuador
"Francisco De Orellana",Ecuador
Capelo,Ecuador
Chordeleg,Ecuador
Loreto,Ecuador
Atahualpa,Ecuador
Tulcán,Ecuador
Piñas,Ecuador
Valencia,Ecuador
Catacupamba,Ecuador
Atuntaqui,Ecuador
"Santa Clara",Ecuador
Atalpamba,Ecuador
Elena,Ecuador
Macará,Ecuador
"El Ángel",Ecuador
Llulluchas,Ecuador
Kabala,Estonia
Haaslava,Estonia
"Kooraste Asundus",Estonia
Sammaste,Estonia
Vabriku,Estonia
Haiba,Estonia
Lehetu,Estonia
Tänassilma,Estonia
Surju,Estonia
Tõrva,Estonia
Tõravere,Estonia
Osmussaare,Estonia
Osula,Estonia
Allika,Estonia
Kõue,Estonia
Tõstamaa,Estonia
Jõesuu,Estonia
Rajaküla,Estonia
Alavere,Estonia
Liivi,Estonia
Disuq,Egypt
"Ra's Gharib",Egypt
Assiout,Egypt
Qena,Egypt
Dessouk,Egypt
Aswan,Egypt
"Al Hawamidiyah",Egypt
"El Balyana",Egypt
"El-mahalla El-kubra",Egypt
Halwan,Egypt
Idku,Egypt
"El Agami",Egypt
Menouf,Egypt
Tima,Egypt
Misheirif,Egypt
Alessandria,Egypt
"`ezbet Sharikât Wardan",Egypt
Shâwa,Egypt
Mashtul,Egypt
Girga,Egypt
"Bir Gandús","Western Sahara"
Massawa,Eritrea
Asmara,Eritrea
Dekemhare,Eritrea
Mendefera,Eritrea
"Addi Ugri",Eritrea
Ts'egwaro,Eritrea
Bisha,Eritrea
"Adi Ar`ada",Eritrea
Burjasot,Spain
"Cervera De Los Montes",Spain
"Sotillo De La Ribera",Spain
"San Vicente De La Barquera",Spain
Casasbuenas,Spain
Astigarraga,Spain
Secadura,Spain
Rialp,Spain
Alfarrasi,Spain
Dicastillo,Spain
Vales,Spain
Muez,Spain
Aliseda,Spain
Bearín,Spain
Cervo,Spain
"Herrera De Los Navarros",Spain
Fortaleny,Spain
"Montbrió De La Marca",Spain
"Los Palacios Y Villafranca",Spain
Nueno,Spain
"Addis Abeba",Ethiopia
Nekempt,Ethiopia
"Hagere Hiywet",Ethiopia
Adama,Ethiopia
Nekempte,Ethiopia
"Debre Birhan",Ethiopia
"Addis Ababa",Ethiopia
Mersa,Ethiopia
Gondar,Ethiopia
Hawassa,Ethiopia
Sebeta,Ethiopia
"Dire Dawa",Ethiopia
Jimma,Ethiopia
Dese,Ethiopia
Nazareth,Ethiopia
Harer,Ethiopia
"Adis Abeba",Ethiopia
Nekemt,Ethiopia
"Bahir Dar",Ethiopia
Woldia,Ethiopia
Palojoki,Finland
Kaihlamäki,Finland
Kuusjärvi,Finland
Oravasaari,Finland
Tavastehus,Finland
Portimo,Finland
Herneshuhta,Finland
Virkkala,Finland
Kalliomäki,Finland
Mutanen,Finland
Lietsa,Finland
Botbyåsen,Finland
Vieremä,Finland
Ruorasmäki,Finland
Vastamäki,Finland
Suurimaa,Finland
Kallbäck,Finland
Rutava,Finland
Evitskog,Finland
Kuitula,Finland
Kalambo,Fiji
Vakambuli,Fiji
Vatukoula,Fiji
Toorak,Fiji
"Drio Drio",Fiji
Nasinu,Fiji
Ndrambuta,Fiji
Laucala,Fiji
Lomolomo,Fiji
Savusavu,Fiji
Namandi,Fiji
Levuka,Fiji
Numbutautau,Fiji
Suva,Fiji
Nasoli,Fiji
Raiwai,Fiji
Nasese,Fiji
Nadi,Fiji
Rakiraki,Fiji
Natoaika,Fiji
"Hill Cove","Falkland Islands (Malvinas)"
"Port Stanley","Falkland Islands (Malvinas)"
"Rincon Grande","Falkland Islands (Malvinas)"
Stanley,"Falkland Islands (Malvinas)"
Chuuk,Micronesi
Pohnpei,Micronesi
Kosrae,Micronesi
Orlando,Micronesi
Yap,Micronesi
"Skuö Bygd","Faroe Islands"
Kunoy,"Faroe Islands"
Klaksvík,"Faroe Islands"
Sørvágur,"Faroe Islands"
Kollefjord,"Faroe Islands"
Søldarfjørður,"Faroe Islands"
"Innan Glyvur","Faroe Islands"
Húsar,"Faroe Islands"
Ejde,"Faroe Islands"
Thorshavn,"Faroe Islands"
Sandur,"Faroe Islands"
Haldórsvík,"Faroe Islands"
Signabøur,"Faroe Islands"
Sand,"Faroe Islands"
Oyri,"Faroe Islands"
Göteejde,"Faroe Islands"
Tvøroyri,"Faroe Islands"
Nordregöte,"Faroe Islands"
Gøtugjógv,"Faroe Islands"
Gøta,"Faroe Islands"
Orgy,France
Longué,France
Tréguidel,France
Cours-les-bains,France
Mélamare,France
Saint-avit-frandat,France
Barges,France
Touquet,France
Ammerzwiller,France
Domvallier,France
Béréziat,France
"Les Riceys",France
Méaudre,France
Château-voué,France
Saint-andre-d'olerargues,France
Saint-hilaire-les-courbes,France
Sainte-sévère-sur-indre,France
Benesse-marenne,France
"Le Mesnil-sur-blangy",France
Bourg-sainte-marie,France
Moanda,Gabon
"Port Gentil",Gabon
Oyem,Gabon
Gamba,Gabon
Lambaréné,Gabon
Franceville,Gabon
Port-gentil,Gabon
Libreville,Gabon
"Great Oakley","United Kingdom"
Chipping,"United Kingdom"
Amlwch,"United Kingdom"
Cattal,"United Kingdom"
Wysall,"United Kingdom"
Llanilar,"United Kingdom"
"Great Welnetham","United Kingdom"
Stainley,"United Kingdom"
Castleford,"United Kingdom"
Timperley,"United Kingdom"
Saxby,"United Kingdom"
Illston,"United Kingdom"
"Stanford Le Hope","United Kingdom"
Ashleworth,"United Kingdom"
Weybridge,"United Kingdom"
Armthorpe,"United Kingdom"
Longtown,"United Kingdom"
Beverston,"United Kingdom"
Kirkhill,"United Kingdom"
Pusey,"United Kingdom"
Florida,Grenada
"Mon Plaisir",Grenada
"Happy Hill",Grenada
Boca,Grenada
"Mount Moritz Land Settlement",Grenada
Café,Grenada
Paddock,Grenada
D'arbeau,Grenada
"Saint David's",Grenada
"Morne Longue",Grenada
"True Blue",Grenada
"Petit Étang",Grenada
Vincennes,Grenada
"Saint Mark",Grenada
Tempe,Grenada
Hillsborough,Grenada
"Morne Jaloux",Grenada
Beaton,Grenada
"La Poterie",Grenada
"Petit Calivigny",Grenada
Khashuri,Georgia
Terdzhola,Georgia
Gurjaani,Georgia
Gamarjveba,Georgia
Sameba,Georgia
Vake,Georgia
Sagarejo,Georgia
K'obulet'i,Georgia
Tsalka,Georgia
Mtskhera,Georgia
Tsnori,Georgia
Agara,Georgia
Senaki,Georgia
Zugdidi,Georgia
Surami,Georgia
Duscheti,Georgia
P'ot'i,Georgia
K'ut'aisi,Georgia
Chiat'ura,Georgia
Rustavi,Georgia
"Saint-laurent Du Maroni","French Guiana"
Sinnamary,"French Guiana"
Guadeloupe,"French Guiana"
Cabassou,"French Guiana"
Montjoli,"French Guiana"
Portal,"French Guiana"
Montsinéry,"French Guiana"
Javouhey,"French Guiana"
Rémiré,"French Guiana"
Laurent,"French Guiana"
"Saint Laurent","French Guiana"
Maripa,"French Guiana"
Maripasoula,"French Guiana"
Iracoubo,"French Guiana"
Tonale,"French Guiana"
Roura,"French Guiana"
Tonnégrande,"French Guiana"
Grand-santi,"French Guiana"
Kourou,"French Guiana"
Montjoly,"French Guiana"
"Les Nicolles",Guernsey
"Hougues Magues",Guernsey
Vazon,Guernsey
"Les Varendes",Guernsey
"Le Manoir",Guernsey
"La Donnellerie",Guernsey
"St. Andrew",Guernsey
"La Tour",Guernsey
"Les Adams",Guernsey
Rohais,Guernsey
"La Villiaze",Guernsey
Braye,Guernsey
L'islet,Guernsey
"Saint George",Guernsey
Torteval,Guernsey
Coutanchez,Guernsey
Houmets,Guernsey
Houmet,Guernsey
"St. Saviour",Guernsey
"Le Bordage",Guernsey
Sakumono,Ghana
Wamfie,Ghana
Adisadel,Ghana
Dunkwa,Ghana
Nkwatia,Ghana
Tarkwa,Ghana
Tafo,Ghana
Teshie,Ghana
Techiman,Ghana
Akuse,Ghana
Kokomlemle,Ghana
Tesano,Ghana
Tumu,Ghana
Ridge,Ghana
Sekondi,Ghana
Berekuso,Ghana
Nsoatre,Ghana
Abaam,Ghana
Tamale,Ghana
"Cape Coast",Ghana
Caleta,Gibraltar
Gibraltar,Gibraltar
Godthaab,Greenland
Narsaq,Greenland
Narsarsuaq,Greenland
Kangaatsiaq,Greenland
Ikerasak,Greenland
Niaqornaarsuk,Greenland
Dundas,Greenland
Atammik,Greenland
Arsuk,Greenland
Saattut,Greenland
Qasigianguit,Greenland
Nanortalik,Greenland
Nuuk,Greenland
"Alluitsup Paa",Greenland
Qaanaaq,Greenland
Attu,Greenland
Kapisillit,Greenland
Maniitsoq,Greenland
Julianehåb,Greenland
Ivittuut,Greenland
Serekunda,Gambia
Kololi,Gambia
Kanifing,Gambia
"Dippa Kunda",Gambia
Sanyang,Gambia
"Little Banjul",Gambia
Bakau,Gambia
Banjul,Gambia
Kotu,Gambia
Yundum,Gambia
Brufut,Gambia
Serrekunda,Gambia
Brikama,Gambia
Fajara,Gambia
"Sere Kunda",Gambia
"Kantong Kunda",Gambia
Tabokoto,Gambia
Bakoteh,Gambia
"Banjul Nding",Gambia
Sukuta,Gambia
Nzérékoré,Guinea
Kindia,Guinea
Kipé,Guinea
Téma,Guinea
Pita,Guinea
Mamou,Guinea
Beyla,Guinea
Dalaba,Guinea
Kissidougou,Guinea
Kalia,Guinea
Forécariah,Guinea
Kamsar,Guinea
Camayenne,Guinea
Conakry,Guinea
Labé,Guinea
Koundara,Guinea
Boké,Guinea
Kankan,Guinea
Lola,Guinea
Ratoma,Guinea
"Cul De Sac",Guadeloupe
Vieux-fort,Guadeloupe
Baie-mahault,Guadeloupe
"Quartier D'orléans",Guadeloupe
Baillif,Guadeloupe
"Les Abymes",Guadeloupe
"Ravine Chaude",Guadeloupe
Bouillante,Guadeloupe
"Le Galet",Guadeloupe
Trianon,Guadeloupe
Deshauteurs,Guadeloupe
Émilien,Guadeloupe
Nogent,Guadeloupe
Abymes,Guadeloupe
Boricaud,Guadeloupe
Brion,Guadeloupe
Montalègre,Guadeloupe
Orléans,Guadeloupe
Sainte-marie,Guadeloupe
Petit-bourg,Guadeloupe
Bata,"Equatorial Guinea"
"Monte Bata","Equatorial Guinea"
Malaba,"Equatorial Guinea"
"Ciudad De Malabo","Equatorial Guinea"
Mongomo,"Equatorial Guinea"
Kogo,"Equatorial Guinea"
Malabo,"Equatorial Guinea"
Vlakhokeraséa,Greece
Elliniká,Greece
Erithraí,Greece
Kalamáta,Greece
Máleme,Greece
Sidirókastron,Greece
Mouzáki,Greece
Koróni,Greece
Pithárion,Greece
Kríni,Greece
Mazaréïka,Greece
Moskhokhórion,Greece
Varvára,Greece
Vrakhnaíika,Greece
Thessalonike,Greece
Agnanterón,Greece
Aryiropoúlion,Greece
Stavrós,Greece
Amorgós,Greece
Kinétta,Greece
Stromness,"South Georgia and the South Sandwich Islands"
"Santa Catarina Pinula",Guatemala
Tikal,Guatemala
"San José Chacayá",Guatemala
"Villa Canales",Guatemala
"San Juan",Guatemala
Champerico,Guatemala
"Santiago Sacatepéquez",Guatemala
"Puerta Parada",Guatemala
Tamahú,Guatemala
"San Vicente",Guatemala
Cuyotenango,Guatemala
"Santiago Atitlán",Guatemala
"San Antonio Palopó",Guatemala
"Magdalena Milpas Altas",Guatemala
"Santa María De Jesús",Guatemala
Sumpango,Guatemala
Florida,Guatemala
Guacamaya,Guatemala
"San Mateo",Guatemala
"San Andrés Itzapa",Guatemala
"Agana Heights",Guam
Barrigada,Guam
Tamuning,Guam
Yigo,Guam
Hagatna,Guam
Inarajan,Guam
"Santa Rita",Guam
Mangilao,Guam
Dededo,Guam
Agat,Guam
Merizo,Guam
Cacheu,Guinea-Bissau
Bissau,Guinea-Bissau
Kingston,Guyana
Linden,Guyana
Enmore,Guyana
Blairmont,Guyana
Belfield,Guyana
Mahaicony,Guyana
Queenstown,Guyana
Wales,Guyana
Georgetown,Guyana
Plaisance,Guyana
Beterverwagting,Guyana
Stanleytown,Guyana
Skeldon,Guyana
"Vreed En Hoop",Guyana
"Gordon Table",Guyana
Hopetown,Guyana
Alberttown,Guyana
"Rose Hall Village",Guyana
"Prashad Nagar",Guyana
Patentia,Guyana
"Ha Keng","Hong Kong"
"Sha Tin New Town","Hong Kong"
"Tai Kong Po","Hong Kong"
"A Shan Tsiu Lam","Hong Kong"
"Wing Lung Wai","Hong Kong"
"Sai Ying Poon","Hong Kong"
"Morrison Hill","Hong Kong"
"Kon Tong","Hong Kong"
"Tai Ping Shan","Hong Kong"
"Tseng Tau Wai","Hong Kong"
"Ping Che","Hong Kong"
"Tung Lo Wan","Hong Kong"
"Fuk Hing Lei","Hong Kong"
Sai,"Hong Kong"
"Shek Wo Hui","Hong Kong"
"Ko Tong","Hong Kong"
"Chung Mei","Hong Kong"
"Yau Tam Mei","Hong Kong"
"Tin Shui Wai","Hong Kong"
"To Kwa Wan","Hong Kong"
Quimistán,Honduras
Achiotal,Honduras
Mojimán,Honduras
Valle,Honduras
Morocelí,Honduras
"San José",Honduras
Lepaera,Honduras
Cofradía,Honduras
Pinalejo,Honduras
Mangulile,Honduras
"El Porvenir",Honduras
"El Paraíso",Honduras
"Toloa Adentro",Honduras
"Coyoles Central",Honduras
"Los Robles",Honduras
Moras,Honduras
Taulabé,Honduras
Villanueva,Honduras
"San Cristóbal",Honduras
Arimís,Honduras
Virovitica,Croatia
Petlovac,Croatia
"Gornji Martijanec",Croatia
Galgovo,Croatia
Sesvete,Croatia
Vrsine,Croatia
"Sveti Lovrec",Croatia
Rieka,Croatia
Henrikovci,Croatia
Bedenica,Croatia
Grohote,Croatia
Novska,Croatia
Stafilic,Croatia
Okoli,Croatia
"Zagrebacka Dubrava",Croatia
"Donja Bistra",Croatia
"Poljana Vrbovacka",Croatia
Horvati,Croatia
"Hudi Bitek",Croatia
"Novo Selo Na Dravi",Croatia
"Croix Des Bouquets",Haiti
Memadon,Haiti
Villard,Haiti
Cabaret,Haiti
Fort,Haiti
"Montagne Noire",Haiti
"Canapé Vert",Haiti
Delmar,Haiti
Dessalines,Haiti
Poco,Haiti
Mariani,Haiti
Verrettes,Haiti
Gonaïves,Haiti
Papette,Haiti
"Les Cayes",Haiti
Archaie,Haiti
Pétionville,Haiti
Delmas,Haiti
"Saint Michel",Haiti
"Petit Bois",Haiti
Kéthely,Hungary
Kiszsennye,Hungary
Kétegyháza,Hungary
Citrahát,Hungary
Jéke,Hungary
Szentpéterszeg,Hungary
Mezokovacshaza,Hungary
Kisláng,Hungary
Újpetre,Hungary
Szilvás,Hungary
Fót,Hungary
Lajostelep,Hungary
Kistelek,Hungary
Bagotapuszta,Hungary
Somogyvár,Hungary
Borsod,Hungary
Tarján,Hungary
Feldebro,Hungary
Gyál,Hungary
Kisbajcs,Hungary
"Cinyucruk Dua",Indonesia
Lahat,Indonesia
Kepoeng,Indonesia
"Banjar Sumampan",Indonesia
Lewoleba,Indonesia
Poedak-koelon,Indonesia
Sragen,Indonesia
Sago,Indonesia
Gemiring,Indonesia
Atambua,Indonesia
Cileungar,Indonesia
Cemara,Indonesia
Tangarang,Indonesia
Cileunyi,Indonesia
Langowan,Indonesia
"Petukangan Selatan",Indonesia
Caturtunggal,Indonesia
Cabakan,Indonesia
Tebatipoe,Indonesia
Singaparna,Indonesia
"Doran's Cross Roads",Ireland
Bodyke,Ireland
Shinrone,Ireland
"An Scoil",Ireland
Springvale,Ireland
Aghabullogue,Ireland
Ballybaan,Ireland
Goresbridge,Ireland
Garranmaconly,Ireland
Newtown,Ireland
Port,Ireland
Lifford,Ireland
"High Street",Ireland
Knockaderry,Ireland
Islandbridge,Ireland
Roddenagh,Ireland
Boherbue,Ireland
Gortmore,Ireland
"Cross Guns",Ireland
Templeogue,Ireland
`isawiya,Israel
Damon,Israel
Ono,Israel
Hazor,Israel
"Ben Zakai",Israel
"Even Yahuda",Israel
"Gan Shomron",Israel
Ramla,Israel
Alumim,Israel
"Nezer Sereni",Israel
Nofek,Israel
"Beit Hanan",Israel
"Beer Shalom",Israel
"Kefar Barukh",Israel
Mishmarot,Israel
Mahanayim,Israel
"Sde Boker",Israel
"Kerem Ben Zimra",Israel
Qadima,Israel
Tsipori,Israel
Cregneish,"Isle of Man"
Kirkmichael,"Isle of Man"
Colby,"Isle of Man"
Derbyhaven,"Isle of Man"
Crosby,"Isle of Man"
"Port Soderick","Isle of Man"
Dalby,"Isle of Man"
"Union Mills","Isle of Man"
Douglas,"Isle of Man"
Ballabeg,"Isle of Man"
Ramsey,"Isle of Man"
Patrick,"Isle of Man"
"Saint Johns","Isle of Man"
"Port Erin","Isle of Man"
Conchan,"Isle of Man"
Laxey,"Isle of Man"
"Saint Marks","Isle of Man"
Andreas,"Isle of Man"
"Glen Maye","Isle of Man"
Maughold,"Isle of Man"
Nemmara,India
Karaikal,India
Asaudah,India
Arang,India
Bilaigarh,India
Mahad,India
Sanvordem,India
Kanniyakumari,India
"North Lakhimpur",India
Barpali,India
Laksar,India
Simla,India
Beswan,India
Nisha,India
Baruipur,India
Chicalim,India
Deeg,India
Patna,India
Tohana,India
Surajgarha,India
Taji,Iraq
Nasiriyah,Iraq
"Al Fursi",Iraq
Sidra,Iraq
Zubair,Iraq
Goran,Iraq
"Tall Aswad",Iraq
Dohuk,Iraq
Sulaimaniya,Iraq
Darbandikhan,Iraq
Basrah,Iraq
Diyana,Iraq
Qasr,Iraq
Khalis,Iraq
"As Sulaymaniyah",Iraq
Hawler,Iraq
Sleimani,Iraq
Wasit,Iraq
Korek,Iraq
Suli,Iraq
Mianeh,Ira
Rayen,Ira
Varzaneh,Ira
Sharq,Ira
Hemmatabad,Ira
Ahram,Ira
Alvand,Ira
Samangan,Ira
Tamishan,Ira
Kelarabad,Ira
Golestaneh,Ira
Nehbandan,Ira
Takhteh,Ira
As,Ira
"Tolombeh Khaneh-ye Mozaffarabad",Ira
Bidgol,Ira
Yaran,Ira
Tajrish,Ira
Sabzevar,Ira
Bafq,Ira
Hnífsdalur,Iceland
Kálfajörn,Iceland
Álafoss,Iceland
Dalvík,Iceland
Reykjavík,Iceland
Skálholt,Iceland
Hofsós,Iceland
Ás,Iceland
Sandgerði,Iceland
Borg,Iceland
Kirkjubæjarklaustur,Iceland
Patreksfjörður,Iceland
Stykkishólmur,Iceland
Ísafjörður,Iceland
Hvanneyri,Iceland
Garður,Iceland
Þórshöfn,Iceland
Hafnir,Iceland
Vík,Iceland
Blönduós,Iceland
Cuceglio,Italy
Acri,Italy
Termoli,Italy
"Torbole Sul Garda",Italy
Lombro,Italy
Fossalta,Italy
Laurito,Italy
Terdobbiate,Italy
"Alessandria Del Carretto",Italy
Castelguelfo,Italy
Fregona,Italy
Celano,Italy
Civita,Italy
Zendri,Italy
Arzergrande,Italy
Maiero,Italy
Nemoli,Italy
"Ponte A Cappiano",Italy
Gizzeria,Italy
Fontevivo,Italy
Portinfer,Jersey
"Saint Aubin",Jersey
"La Ville ès Nouaux",Jersey
"Saint Peter",Jersey
"La Villaise",Jersey
Rozel,Jersey
Gouray,Jersey
"La Falaise",Jersey
Gorey,Jersey
Millbrook,Jersey
"Saint John",Jersey
"La Haule",Jersey
"Bel Royal",Jersey
"Saint Jean",Jersey
"Saint Helier",Jersey
"Ville Au Bas",Jersey
"La Ville Bagot",Jersey
"Saint Peter Church",Jersey
Longueville,Jersey
"Grand Chemins",Jersey
"Washington Gardens",Jamaica
"Halse Hall",Jamaica
"Ivy Mount",Jamaica
Spaldings,Jamaica
Whitehouse,Jamaica
"Port Antonio",Jamaica
"Clarendon Park",Jamaica
Montego,Jamaica
"Mammee Bay",Jamaica
"Maroon Town",Jamaica
Cauldwell,Jamaica
Falmouth,Jamaica
Gayle,Jamaica
Hanover,Jamaica
Bromley,Jamaica
Oberlin,Jamaica
"Newport West",Jamaica
Thornton,Jamaica
Ironshore,Jamaica
Lacovia,Jamaica
Burma,Jordan
"Abu `alanda",Jordan
Jawa,Jordan
Suf,Jordan
Jarash,Jordan
"Al Karak",Jordan
Mobis,Jordan
"Ar Rumman",Jordan
Mafraq,Jordan
Sufah,Jordan
`amman,Jordan
Tafila,Jordan
Adjlun,Jordan
"Ar Rashadah",Jordan
Safi,Jordan
Zarqa',Jordan
Qafqafa,Jordan
"Saha Abu Jabir",Jordan
"Dulaylat Al Hama'idah",Jordan
"As Salt",Jordan
Yuzawa,Japan
Aso,Japan
Togitsu,Japan
Usuda,Japan
Isezaki,Japan
Iijima,Japan
Fujisaki,Japan
Oura,Japan
Saidaiji,Japan
Towada,Japan
Sasaguri,Japan
Mizuki,Japan
Nakamura,Japan
Ubara,Japan
Shimotsuke,Japan
Myohoji,Japan
Shinoro,Japan
Kusatu,Japan
Haraguchi,Japan
Omika,Japan
Kianjogu,Kenya
Elburgon,Kenya
"City Estate",Kenya
Githunguri,Kenya
Kerugoya,Kenya
Kirenga,Kenya
Kisumu,Kenya
Kapsabet,Kenya
Voi,Kenya
"Makandarahousing Estate",Kenya
Murang'a,Kenya
Kanjuku,Kenya
Kiganjo,Kenya
Gatharaini,Kenya
Ngombeni,Kenya
Kandara,Kenya
Mbita,Kenya
"Nairobi South",Kenya
Kericho,Kenya
Naivasha,Kenya
Kazarman,Kyrgyzstan
Chok-tal,Kyrgyzstan
Jalal-abad,Kyrgyzstan
Ivanovka,Kyrgyzstan
Petrovka,Kyrgyzstan
Talas,Kyrgyzstan
Bosteri,Kyrgyzstan
Osh,Kyrgyzstan
Novopokrovka,Kyrgyzstan
Shoro,Kyrgyzstan
Kara-suu,Kyrgyzstan
Dostuk,Kyrgyzstan
Kochkor-ata,Kyrgyzstan
Kara-balta,Kyrgyzstan
Chaldövar,Kyrgyzstan
Alga,Kyrgyzstan
Tokmok,Kyrgyzstan
Chuy,Kyrgyzstan
Tokmak,Kyrgyzstan
Uzgen,Kyrgyzstan
"Phnum Pénh",Cambodia
Poipet,Cambodia
"Ta Khmau",Cambodia
Boeung,Cambodia
"Kompong Som",Cambodia
Tuol,Cambodia
Sihanoukville,Cambodia
Pousat,Cambodia
Chom,Cambodia
"Svay Rieng",Cambodia
"Wat Phnom",Cambodia
Trabek,Cambodia
Kâmpôt,Cambodia
Sihanouk,Cambodia
"Pnom Penh",Cambodia
Takeo,Cambodia
Preah,Cambodia
"Kouk Krâsang",Cambodia
"Phnom Penh",Cambodia
"Chrouy Changvar",Cambodia
Bairiki,Kiribati
Tarawa,Kiribati
Bikenibeu,Kiribati
Eita,Kiribati
Betio,Kiribati
Mutsamudu,Comoros
Moroni,Comoros
Sima,Comoros
Cayon,"Saint Kitts and Nevis"
Basseterre,"Saint Kitts and Nevis"
Trinity,"Saint Kitts and Nevis"
Newcastle,"Saint Kitts and Nevis"
Molineaux,"Saint Kitts and Nevis"
"Half Way Tree","Saint Kitts and Nevis"
Limekiln,"Saint Kitts and Nevis"
Geoghan,"Saint Kitts and Nevis"
Mansion,"Saint Kitts and Nevis"
"Key Village","Saint Kitts and Nevis"
"Middle Island","Saint Kitts and Nevis"
Hermitage,"Saint Kitts and Nevis"
"Monkey Hill","Saint Kitts and Nevis"
"Old Road Town","Saint Kitts and Nevis"
"Fig Tree","Saint Kitts and Nevis"
"Jessup's Village","Saint Kitts and Nevis"
"Dieppe Bay","Saint Kitts and Nevis"
Charlestown,"Saint Kitts and Nevis"
"Newton Ground Village","Saint Kitts and Nevis"
"Brown Pasture Village","Saint Kitts and Nevis"
Seoul,"South Korea"
Busan,"South Korea"
Incheon,"South Korea"
Daegu,"South Korea"
Daejeon,"South Korea"
Gwangju,"South Korea"
Ulsan,"South Korea"
Suwon,"South Korea"
Changwon,"South Korea"
Goyang,"South Korea"
Yongin,"South Korea"
Seongnam,"South Korea"
Bucheon,"South Korea"
Ansan,"South Korea"
Jeonju,"South Korea"
Cheongju,"South Korea"
Anyang,"South Korea"
Chuncheon,"South Korea"
Uijeongbu,"South Korea"
